Record_ID,Industry,Organization_Size,Leadership_Function,AI_Maturity_Level,Agent_Type,Use_Case_Area,Agent_Autonomy_Level,Decision_Making_Type,Context_Awareness_Score,Task_Complexity_Level,Human_Oversight_Level,Explainability_Level,Data_Privacy_Compliance,Integration_Level,Task_Success_Rate,Response_Time_Seconds,Productivity_Improvement_Percent,Leadership_Trust_Score,Adoption_Success_Level
AAI-00001,Education,Small,Operations,Early,Risk Monitoring Agent,Process Automation,Low,Rule-based,24.0,Simple,High,High,Yes,API-based,73.6,4.39,11.8,76.1,Medium
AAI-00002,Manufacturing,Small,Operations,Advanced,Knowledge Management Agent,Demand Forecasting,Medium,ML-based,64.7,Simple,Low,Medium,No,API-based,71.6,3.36,16.0,39.6,Medium
AAI-00003,Telecommunications,Medium,Operations,Leading,Workflow Automation Agent,Process Automation,High,ML-based,64.0,Moderate,Low,Low,Yes,API-based,82.2,6.92,22.8,53.6,High
AAI-00004,Energy,Large,Human Resources,Leading,Workflow Automation Agent,Workforce Planning,Medium,Hybrid,75.8,Moderate,Medium,Medium,No,Enterprise-wide,84.4,6.22,17.8,50.6,High
AAI-00005,Financial Services,Small,Marketing,Advanced,Procurement Agent,Content Personalization,Medium,ML-based,56.0,Moderate,High,Medium,Yes,API-based,78.7,6.82,16.1,76.3,High
AAI-00006,Financial Services,Medium,Marketing,Advanced,Customer Experience Agent,Campaign Optimization,High,Rule-based,52.1,Moderate,Low,Medium,Yes,API-based,77.4,6.54,18.3,70.4,Medium
AAI-00007,Retail,Medium,IT,Advanced,Decision Support Agent,Incident Triage,High,Hybrid,80.0,Complex,Low,Medium,Yes,API-based,88.4,8.69,22.7,63.4,Medium
AAI-00008,Energy,Medium,CEO Office,Leading,Knowledge Management Agent,Cross-Functional Coordination,Medium,ML-based,69.6,Moderate,Medium,Medium,Yes,API-based,80.1,6.65,16.9,68.5,High
AAI-00009,Technology,Small,Customer Experience,Developing,Risk Monitoring Agent,Feedback Analysis,Medium,ML-based,55.6,Moderate,Medium,Medium,Yes,Standalone,61.2,9.28,7.3,53.8,Medium
AAI-00010,Manufacturing,Small,CEO Office,Early,Customer Experience Agent,Leadership Briefing,Low,Rule-based,20.0,Simple,High,High,Yes,Standalone,75.3,4.93,8.5,77.7,Medium
AAI-00011,Manufacturing,Enterprise,Risk & Compliance,Early,Risk Monitoring Agent,Regulatory Reporting,Low,Rule-based,24.8,Simple,High,High,Yes,API-based,62.0,6.49,6.9,76.7,Medium
AAI-00012,Professional Services,Enterprise,Operations,Developing,Decision Support Agent,Process Automation,Medium,ML-based,64.8,Simple,Medium,Medium,Yes,API-based,79.6,5.55,12.1,72.7,High
AAI-00013,Financial Services,Medium,Operations,Leading,Talent Intelligence Agent,Process Automation,Medium,ML-based,71.3,Moderate,High,Medium,Yes,Enterprise-wide,80.6,7.5,20.6,60.1,High
AAI-00014,Logistics,Large,Strategy,Early,Talent Intelligence Agent,Scenario Planning,Low,ML-based,39.8,Moderate,Medium,Medium,Yes,API-based,64.5,7.25,4.8,59.4,Medium
AAI-00015,Energy,Small,Finance,Developing,Decision Support Agent,Procurement Optimization,Medium,Hybrid,53.0,Moderate,Medium,Medium,Yes,Standalone,74.7,10.61,9.9,69.1,Medium
AAI-00016,Telecommunications,Medium,Marketing,Developing,Talent Intelligence Agent,Lead Qualification,Medium,Rule-based,48.8,Moderate,Medium,Medium,Yes,Standalone,69.5,9.04,10.3,69.4,Medium
AAI-00017,Manufacturing,Large,CEO Office,Advanced,Executive Assistant Agent,Strategic Planning,Medium,Hybrid,75.2,Moderate,High,High,Yes,API-based,85.9,7.71,18.1,81.8,High
AAI-00018,Financial Services,Medium,Human Resources,Advanced,Talent Intelligence Agent,Employee Support,Medium,ML-based,56.1,Simple,Medium,Medium,Yes,API-based,86.0,6.2,15.6,73.4,Medium
AAI-00019,Technology,Medium,Finance,Developing,Risk Monitoring Agent,Budgeting,Medium,Hybrid,47.0,Moderate,Medium,Medium,No,Standalone,56.4,9.57,6.5,47.2,Low
AAI-00020,Financial Services,Small,Finance,Developing,Workflow Automation Agent,Financial Forecasting,High,Rule-based,53.0,Complex,Medium,Medium,No,API-based,60.4,10.09,9.7,41.9,Medium
AAI-00021,Technology,Large,Human Resources,Early,Executive Assistant Agent,Learning & Development,Medium,ML-based,32.9,Moderate,Low,Low,Yes,API-based,58.5,7.07,8.9,43.4,Low
AAI-00022,Government,Small,CEO Office,Developing,Talent Intelligence Agent,Leadership Briefing,Medium,Hybrid,57.3,Moderate,High,High,Yes,Standalone,68.0,9.71,6.7,68.7,Medium
AAI-00023,Education,Medium,Operations,Early,Executive Assistant Agent,Process Automation,Low,Rule-based,33.1,Simple,High,High,Yes,API-based,71.4,3.26,12.0,88.5,Medium
AAI-00024,Government,Medium,CEO Office,Developing,Strategy Insights Agent,Strategic Planning,Medium,Hybrid,48.4,Moderate,High,Medium,Yes,API-based,69.4,8.42,4.4,61.2,Medium
AAI-00025,Professional Services,Large,Human Resources,Early,Executive Assistant Agent,Workforce Planning,Low,Rule-based,20.0,Simple,Medium,High,Yes,API-based,60.4,6.41,5.2,60.7,Medium
AAI-00026,Financial Services,Small,Marketing,Developing,Talent Intelligence Agent,Campaign Optimization,Medium,Hybrid,58.4,Moderate,Medium,Medium,Yes,API-based,84.5,6.19,21.4,60.4,Medium
AAI-00027,Technology,Small,Operations,Leading,Talent Intelligence Agent,Demand Forecasting,High,Rule-based,68.1,Complex,Low,Medium,No,API-based,80.1,12.06,16.5,49.7,Medium
AAI-00028,Education,Enterprise,Marketing,Early,Strategy Insights Agent,Market Analysis,Low,Rule-based,34.7,Simple,High,High,No,API-based,60.9,5.55,7.9,52.6,Low
AAI-00029,Technology,Small,Human Resources,Developing,Customer Experience Agent,Workforce Planning,Medium,Hybrid,55.6,Moderate,High,High,Yes,API-based,77.1,7.89,13.5,76.6,Medium
AAI-00030,Financial Services,Enterprise,CEO Office,Advanced,Strategy Insights Agent,Strategic Planning,Medium,Hybrid,67.7,Complex,Medium,High,Yes,API-based,84.9,12.23,17.3,79.2,High
AAI-00031,Financial Services,Medium,Marketing,Developing,Executive Assistant Agent,Content Personalization,Medium,Hybrid,50.7,Moderate,Medium,Medium,Yes,Standalone,68.1,9.34,8.1,61.0,Medium
AAI-00032,Retail,Small,Strategy,Leading,Procurement Agent,Scenario Planning,High,ML-based,75.7,Complex,Low,Low,Yes,Standalone,69.7,12.02,11.8,56.6,Medium
AAI-00033,Healthcare,Medium,Risk & Compliance,Leading,Risk Monitoring Agent,Policy Monitoring,High,Hybrid,74.9,Complex,Low,Medium,No,Enterprise-wide,73.0,11.98,19.5,37.9,Medium
AAI-00034,Financial Services,Enterprise,Customer Experience,Developing,Customer Experience Agent,Service Personalization,Medium,Hybrid,61.8,Moderate,Medium,Medium,Yes,API-based,75.1,7.65,16.3,72.3,Medium
AAI-00035,Logistics,Medium,Customer Experience,Developing,Workflow Automation Agent,Service Personalization,High,Hybrid,57.6,Moderate,Low,Medium,Yes,Standalone,69.4,5.74,10.7,54.5,Medium
AAI-00036,Logistics,Enterprise,Operations,Advanced,Workflow Automation Agent,Operational Monitoring,High,Rule-based,59.4,Complex,Low,Medium,No,Enterprise-wide,66.1,12.18,16.6,33.6,Medium
AAI-00037,Manufacturing,Enterprise,CEO Office,Developing,Workflow Automation Agent,Cross-Functional Coordination,Low,Hybrid,57.5,Moderate,High,Medium,Yes,Enterprise-wide,72.3,4.41,11.4,64.5,Medium
AAI-00038,Financial Services,Small,Finance,Developing,Strategy Insights Agent,Financial Forecasting,Medium,Rule-based,45.8,Moderate,High,Medium,Yes,API-based,77.0,7.53,17.8,73.4,Medium
AAI-00039,Education,Large,Operations,Leading,Knowledge Management Agent,Workflow Orchestration,High,Hybrid,79.5,Complex,Medium,Medium,Yes,Enterprise-wide,94.2,9.25,25.6,75.8,High
AAI-00040,Retail,Enterprise,Marketing,Leading,Customer Experience Agent,Market Analysis,Medium,Hybrid,62.7,Simple,Medium,High,Yes,Enterprise-wide,98.0,2.51,19.1,82.4,High
